Date,XLY Adjusted Close,XLE Adjusted Close,XLF Adjusted Close,XLI Adjusted Close,XLB Adjusted Close,FRESX Adjusted Close,XLK Adjusted Close,XLU Adjusted Close,SP500 Adjusted Close,Date_CPI,CPI_EOM
2006-11-15,32.352,47.726,23.196,28.151,26.769,25.245,19.92,24.267,1396.57,,
2006-11-14,32.233,47.283,23.229,27.879,26.659,25.287,19.878,24.348,1393.22,,
2006-11-13,31.883,47.004,23.138,27.791,26.667,24.977,19.734,24.287,1384.42,,
2006-11-10,31.841,47.086,23.119,27.575,26.408,24.928,19.564,24.294,1380.9,,
2006-11-09,31.738,47.537,22.932,27.535,26.667,24.787,19.513,24.111,1378.33,,
2006-11-08,31.841,47.144,23.087,27.703,26.377,24.794,19.522,24.118,1385.72,,
2006-11-07,31.687,46.365,22.99,27.663,26.314,24.766,19.505,23.881,1382.84,,
2006-11-06,31.602,46.726,22.938,27.351,26.4,25.012,19.403,23.962,1379.78,,
2006-11-03,31.218,46.39,22.673,27.112,26.079,24.751,19.174,24.071,1364.3,,
2006-11-02,31.457,45.39,22.673,27.167,26.165,25.09,19.174,24.247,1367.34,,
2006-11-01,31.491,45.209,22.738,27.263,26.079,25.513,19.293,24.362,1367.81,,
2006-10-31,31.738,45.677,22.88,27.399,26.283,25.696,19.378,24.213,1377.94,,
2006-10-30,31.807,45.209,22.919,27.463,26.236,25.675,19.352,24.186,1377.93,,
2006-10-27,31.61,46.037,22.912,27.375,26.165,25.527,19.284,24.199,1377.34,,
2006-10-26,31.926,46.414,23.087,27.575,26.103,25.752,19.539,24.287,1389.08,,
2006-10-25,31.491,46.521,22.925,27.583,26.048,25.541,19.437,24.395,1382.22,,
2006-10-24,31.602,45.734,22.828,27.559,26.071,25.414,19.268,24.138,1377.38,,
2006-10-23,31.482,44.914,22.835,27.543,25.774,25.527,19.403,24.118,1377.02,,
2006-10-20,31.073,44.832,22.686,27.399,25.609,25.372,19.284,24.091,1368.6,,
2006-10-19,31.116,45.423,22.712,27.519,25.75,25.386,19.166,23.942,1366.96,,
2006-10-18,31.133,44.505,22.861,27.583,25.578,25.456,19.107,23.847,1365.8,,
2006-10-17,31.107,44.791,22.796,27.655,25.672,25.329,19.157,23.59,1364.05,,
2006-10-16,31.218,45.283,22.796,27.807,25.852,25.329,19.318,23.489,1369.06,,
2006-10-13,31.244,44.242,22.919,27.623,25.664,25.167,19.327,23.374,1365.62,,
2006-10-12,31.329,43.644,22.835,27.687,25.413,24.892,19.234,23.347,1362.83,,
2006-10-11,30.919,42.644,22.712,27.455,25.154,24.716,18.954,23.354,1349.95,,
2006-10-10,30.996,43.333,22.77,27.447,25.382,24.85,18.963,23.299,1353.42,,
2006-10-09,30.809,42.538,22.77,27.407,25.264,24.85,18.946,23.13,1350.66,,
2006-10-06,30.595,43.185,22.706,27.375,25.06,24.695,18.895,23.151,1349.59,,
2006-10-05,30.655,43.144,22.783,27.431,24.943,24.899,18.886,23.279,1353.22,,
2006-10-04,30.57,42.333,22.796,27.295,24.551,24.625,18.895,23.354,1350.2,,
2006-10-03,30.135,41.718,22.525,26.896,24.512,24.357,18.607,23.259,1334.11,,
2006-10-02,29.879,43.308,22.305,26.728,24.841,24.061,18.505,23.164,1331.32,,
2006-09-29,29.811,43.808,22.357,26.648,24.794,24.061,18.641,22.995,1335.85,,
2006-09-28,29.973,43.628,22.421,26.776,25.013,24.054,18.7,23.225,1338.88,,
2006-09-27,29.981,43.767,22.344,26.592,24.943,24.103,18.607,23.299,1336.59,,
2006-09-26,30.032,43.054,22.447,26.528,24.998,23.892,18.751,22.982,1336.35,,
2006-09-25,29.777,42.128,22.325,26.2,24.512,23.955,18.632,23.015,1326.37,,
2006-09-22,29.324,42.07,22.099,25.889,24.379,23.983,18.302,22.697,1314.78,,
2006-09-21,29.35,42.251,22.163,26.017,24.402,23.941,18.412,22.724,1318.03,,
2006-09-20,29.512,41.718,22.215,26.264,24.622,24.181,18.59,22.758,1325.18,,
2006-09-19,29.299,42.865,22.066,26.12,24.41,24.23,18.293,22.792,1317.64,,
2006-09-18,29.239,43.521,22.027,26.224,24.723,24.061,18.378,22.745,1321.18,,
2006-09-15,29.393,42.497,22.053,26.16,24.426,24.23,18.386,22.812,1319.66,,
2006-09-14,29.268,42.351,21.986,26.026,24.447,24.033,18.341,22.804,1316.28,,
2006-09-13,29.345,43.315,21.935,26.146,24.525,24.174,18.298,22.898,1318.07,,
2006-09-12,29.226,42.433,21.774,25.883,24.353,24.089,18.298,22.851,1313,,
2006-09-11,28.562,42.703,21.498,25.644,24.073,23.694,17.985,22.972,1299.54,,
2006-09-08,28.34,44.067,21.485,25.62,24.735,23.617,17.833,23.053,1298.92,,
2006-09-07,28.085,45.21,21.363,25.572,24.642,23.286,17.689,23.053,1294.02,,
2006-09-06,27.991,45.169,21.53,25.636,24.914,23.4,17.791,23.019,1300.26,,
2006-09-05,28.34,46.754,21.601,25.907,25.226,23.515,18.087,23.106,1313.25,,
2006-09-01,28.255,46.15,21.524,25.851,25.078,23.26,17.994,23.355,1311.01,,
